Key,en_us,zh_cn-old,zh_cn
block.immersiveengineering.advanced_blast_furnace,Improved Blast Furnace,强化高炉,改良高炉
block.immersiveengineering.blast_furnace,Crude Blast Furnace,高炉,粗制高炉
block.immersiveengineering.coresample,Core Sample,岩心样本,岩芯样本
block.immersiveengineering.deepslate_ore_aluminum,Deepslate Bauxite Ore,深层铝土矿石,深层铝土矿矿石
block.immersiveengineering.electric_lantern,Powered Lantern,电灯,电灯笼
block.immersiveengineering.feedthrough,Feedthrough Insulator,通透绝缘体,馈穿绝缘体
block.immersiveengineering.fiberboard,Fiberboard,纤维块,纤维板
block.immersiveengineering.generator,Generator Block,发电机模块,发电机方块
block.immersiveengineering.hempcrete,Hempcrete,麻凝土,汉麻混凝土
block.immersiveengineering.lantern,Lantern,灯,灯笼
block.immersiveengineering.metal_ladder_alu,Scaffold Covered Ladder,脚手架梯子,安全梯
block.immersiveengineering.metal_ladder_steel,Scaffold Covered Ladder,脚手架梯子,安全梯
block.immersiveengineering.ore_aluminum,Bauxite Ore,铝土矿石,铝土矿矿石
block.immersiveengineering.radiator,Radiator Block,散热器模块,散热器方块
block.immersiveengineering.raw_block_aluminum,Block of Raw Bauxite,粗铝土块,粗铝土矿块
block.immersiveengineering.refinery,Refinery,炼油厂,精炼厂
block.immersiveengineering.slab_hempcrete,Hempcrete Slab,麻凝土台阶,汉麻混凝土台阶
block.immersiveengineering.stairs_hempcrete,Hempcrete Stairs,麻凝土楼梯,汉麻混凝土楼梯
block.immersiveengineering.structural_arm,Structural Arm,钢结构臂,结构臂
block.immersiveengineering.treated_wallmount,Wooden Wallmount,木制壁挂支架,木壁挂支架
item.immersiveengineering.bannerpattern_bevels.desc,Plating,电镀,金属板
item.immersiveengineering.bannerpattern_ornate.desc,Ornate Frame,花里胡哨的框架,精致框架
item.immersiveengineering.bannerpattern_treated_wood.desc,Wooden Paneling,木嵌板,防腐木板
item.immersiveengineering.bullet.flare,Flare Cartridge,闪光弹,信号弹
