Key,en_us,zh_cn-old,zh_cn
advancement.immersiveengineering.kill_illager,Superior Weaponry,高级武器
advancement.immersiveengineering.kill_illager.desc,"Kill an Illager with Revolver, Railgun or Chemthrower. Beware of the new raiders!",用左轮手枪、磁轨炮或化学喷射器击杀一个灾厄村民。当心新的袭击者！
block.immersiveengineering.acetaldehyde_fluid_block,Acetaldehyde,乙醛
block.immersiveengineering.alu_catwalk,Aluminium Catwalk,铝施工步道
block.immersiveengineering.alu_catwalk_stairs,Aluminium Catwalk Stairs,铝施工步道楼梯
block.immersiveengineering.alu_fence_gate,Aluminium Fence Gate,铝栅栏门
block.immersiveengineering.alu_window,Aluminium Framed Window,铝框窗
block.immersiveengineering.biodiesel_fluid_block,Biodiesel,生物柴油
block.immersiveengineering.blueprint_shelf,Blueprint Shelf,蓝图架
block.immersiveengineering.cagelamp,Cage Lamp,笼灯
block.immersiveengineering.chute_colored_black,Black Sheetmetal Chute,黑色板金属滑道
block.immersiveengineering.chute_colored_blue,Blue Sheetmetal Chute,蓝色板金属滑道
block.immersiveengineering.chute_colored_brown,Brown Sheetmetal Chute,棕色板金属滑道
block.immersiveengineering.chute_colored_cyan,Cyan Sheetmetal Chute,青色板金属滑道
block.immersiveengineering.chute_colored_gray,Gray Sheetmetal Chute,灰色板金属滑道
block.immersiveengineering.chute_colored_green,Green Sheetmetal Chute,绿色板金属滑道
block.immersiveengineering.chute_colored_light_blue,Light Blue Sheetmetal Chute,淡蓝色板金属滑道
block.immersiveengineering.chute_colored_light_gray,Light Gray Sheetmetal Chute,淡灰色板金属滑道
block.immersiveengineering.chute_colored_lime,Lime Sheetmetal Chute,黄绿色板金属滑道
block.immersiveengineering.chute_colored_magenta,Magenta Sheetmetal Chute,品红色板金属滑道
block.immersiveengineering.chute_colored_orange,Orange Sheetmetal Chute,橙色板金属滑道
block.immersiveengineering.chute_colored_pink,Pink Sheetmetal Chute,粉红色板金属滑道
block.immersiveengineering.chute_colored_purple,Purple Sheetmetal Chute,紫色板金属滑道
block.immersiveengineering.chute_colored_red,Red Sheetmetal Chute,红色板金属滑道
block.immersiveengineering.chute_colored_white,White Sheetmetal Chute,白色板金属滑道
block.immersiveengineering.chute_colored_yellow,Yellow Sheetmetal Chute,黄色板金属滑道
block.immersiveengineering.clinker_brick,Clinker Bricks,过烧红砖块
block.immersiveengineering.clinker_brick_quoin,Clinker Brick Quoin,过烧红砖墙角
block.immersiveengineering.clinker_brick_sill,Clinker Brick Sill,过烧红砖窗台
block.immersiveengineering.concrete_brick,Concrete Brick,混凝土砖
block.immersiveengineering.concrete_brick_cracked,Cracked Concrete Brick,裂纹混凝土砖
block.immersiveengineering.concrete_chiseled,Chiseled Concrete,雕纹混凝土砖
block.immersiveengineering.concrete_fluid_block,Liquid Concrete,液态混凝土
block.immersiveengineering.concrete_pillar,Concrete Pillar,混凝土柱
block.immersiveengineering.concrete_reinforced,Reinforced Concrete,强化混凝土
block.immersiveengineering.concrete_reinforced_tile,Reinforced Concrete Tile,强化混凝土瓦
block.immersiveengineering.creosote_fluid_block,Creosote Oil,杂酚油
block.immersiveengineering.electromagnet,Electromagnet,电磁铁
block.immersiveengineering.ethanol_fluid_block,Ethanol,乙醇
block.immersiveengineering.grit_sand,Grit Sand,粗砂
block.immersiveengineering.hempcrete_brick,Hempcrete Brick,汉麻混凝土砖
block.immersiveengineering.hempcrete_brick_cracked,Cracked Hempcrete Brick,裂纹汉麻混凝土砖
block.immersiveengineering.hempcrete_chiseled,Chiseled Hempcrete,雕纹汉麻混凝土
block.immersiveengineering.hempcrete_pillar,Hempcrete Pillar,汉麻混凝土柱
block.immersiveengineering.herbicide_fluid_block,Herbicide,除草剂
block.immersiveengineering.high_power_biodiesel_fluid_block,High-Cetane Biodiesel,高十六烷值生物柴油
block.immersiveengineering.machine_interface,Machine Interface,机器接口
block.immersiveengineering.phenolic_resin_fluid_block,Phenolic Resin,酚醛树脂
block.immersiveengineering.pipe_valve,Pipe Valve,管道阀
block.immersiveengineering.plantoil_fluid_block,Plant Oil,植物油
block.immersiveengineering.radio_tower,Radio Tower,广播塔
block.immersiveengineering.redstone_acid_fluid_block,Redstone Acid,红石酸
block.immersiveengineering.redstone_state_cell,Redstone State Cell,红石状态单元
block.immersiveengineering.redstone_switchboard,Redstone Switchboard,红石接线板
block.immersiveengineering.redstone_timer,Redstone Timer,红石计时器
block.immersiveengineering.reinforced_window,Panzerglass Window,钢化玻璃窗
block.immersiveengineering.siren,Warning Siren,警报器
block.immersiveengineering.slab_clinker_brick,Clinker Brick Slab,过烧红砖台阶
block.immersiveengineering.slab_concrete_brick,Concrete Brick Slab,混凝土砖台阶
block.immersiveengineering.slab_concrete_reinforced,Reinforced Concrete Slab,强化混凝土台阶
block.immersiveengineering.slab_concrete_reinforced_tile,Reinforced Concrete Tile Slab,强化混凝土瓦台阶
block.immersiveengineering.slab_hempcrete_brick,Hempcrete Brick Slab,汉麻混凝土砖台阶
block.immersiveengineering.slab_slag_brick,Slag Brick Slab,矿渣砖台阶
block.immersiveengineering.slag_brick,Slag Bricks,矿渣砖
block.immersiveengineering.stairs_clinker_brick,Clinker Brick Stairs,过烧红砖楼梯
block.immersiveengineering.stairs_concrete_brick,Concrete Brick Stairs,混凝土砖楼梯
block.immersiveengineering.stairs_hempcrete_brick,Hempcrete Brick Stairs,汉麻混凝土砖楼梯
block.immersiveengineering.stairs_slag_brick,Slag Brick Stairs,矿渣砖楼梯
block.immersiveengineering.steel_catwalk,Steel Catwalk,钢施工步道
block.immersiveengineering.steel_catwalk_stairs,Steel Catwalk Stairs,钢施工步道楼梯
block.immersiveengineering.steel_door,Steel Door,钢门
block.immersiveengineering.steel_fence_gate,Steel Fence Gate,钢栅栏门
block.immersiveengineering.steel_trapdoor,Steel Trapdoor,钢活板门
block.immersiveengineering.steel_window,Steel Framed Window,钢框窗
