行号,本地化键名,原文,译文,
44,tile.thebetweenlands.weedwood_bush_infested_0.name,Pheromone Infused Weedwood Bush,诱素的杂草木灌木
45,tile.thebetweenlands.weedwood_bush_infested_1.name,Moth Infested Weedwood Bush,蛾蚀的杂草木灌木
46,tile.thebetweenlands.weedwood_bush_infested_2.name,Silk Grub Infested Weedwood Bush,育虫的杂草木灌木
47,tile.thebetweenlands.weedwood_bush_infested_3.name,Silk Cocooned Weedwood Bush,裹丝的杂草木灌木
48,tile.thebetweenlands.weedwood_bush_infested_4.name,Decay Infested Weedwood Bush,腐化的杂草木灌木
86,tile.thebetweenlands.cragrock_bricks_cracked.name,Cracked Cragrock Bricks,裂纹峭壁岩砖
87,tile.thebetweenlands.cragrock_bricks_mossy.name,Mossy Cragrock Bricks,峭壁苔岩砖
90,tile.thebetweenlands.cragrock_chiseled_mossy.name,Mossy Chiseled Cragrock,錾制峭壁苔岩
91,tile.thebetweenlands.cragrock_chiseled_cracked.name,Cracked Chiseled Cragrock,裂纹錾制峭壁岩
94,tile.thebetweenlands.cragrock_tiles_cracked.name,Cracked Cragrock Tiles,裂纹峭壁岩地砖
95,tile.thebetweenlands.cragrock_tiles_mossy.name,Mossy Cragrock Tiles,峭壁苔岩地砖
172,tile.thebetweenlands.peat_smouldering.name,Smoldering Peat,阴燃泥炭
207,tile.thebetweenlands.filtered_silt.name,Filtered Silt,澄净淤泥
315,tile.thebetweenlands.rotten_plank_trapdoor.name,Rotten Plank Trapdoor,腐朽木板活板门
316,tile.thebetweenlands.weedwood_trapdoor_treated.name,Treated Weedwood Trapdoor,防腐杂草木木板活板门
317,tile.thebetweenlands.rubber_tree_plank_trapdoor_treated.name,Treated Rubber Tree Plank Trapdoor,防腐橡胶树木板活板门
318,tile.thebetweenlands.hearthgrove_plank_trapdoor_treated.name,Treated Hearthgrove Plank Trapdoor,防腐炉树木板活板门
319,tile.thebetweenlands.nibbletwig_plank_trapdoor_treated.name,Treated Nibbletwig Plank Trapdoor,防腐奇趣枝木板活板门
320,tile.thebetweenlands.rotten_plank_trapdoor_treated.name,Treated Rotten Plank Trapdoor,防腐腐朽木板活板门
321,tile.thebetweenlands.giant_root_plank_trapdoor_treated.name,Treated Giant Root Plank Trapdoor,防腐巨型树根木板活板门
331,tile.thebetweenlands.filtered_silt_glass_pane.name,Filtered Silt Glass Pane,澄净淤泥玻璃板
344,tile.thebetweenlands.filtered_silt_glass.name,Filtered Silt Glass,澄净淤泥玻璃
513,tile.thebetweenlands.fishing_tackle_box.name,Fishing Tackle Box,钓具箱
514,tile.thebetweenlands.smoking_rack.name,Smoking Rack,烟熏架
515,tile.thebetweenlands.fish_trimming_table.name,Trimming Table,剁鱼台
516,tile.thebetweenlands.crab_pot.name,Crab Pot,蟹笼
517,tile.thebetweenlands.silt_glass_jar.name,Silt Glass Jar,淤泥玻璃罐
518,tile.thebetweenlands.crab_pot_filter.name,Crab Pot Filter,蟹笼过滤器
519,tile.thebetweenlands.pearl_block.name,Block of Pearls,珍珠块
520,tile.thebetweenlands.betweenstone_pebble_pile.one.name,Betweenstone Pebble Pile,交错卵石堆
521,tile.thebetweenlands.betweenstone_pebble_pile.two.name,Betweenstone Pebble Pile,交错卵石堆
522,tile.thebetweenlands.betweenstone_pebble_pile.three.name,Betweenstone Pebble Pile,交错卵石堆
523,tile.thebetweenlands.betweenstone_pebble_pile.four.name,Betweenstone Pebble Pile,交错卵石堆
524,tile.thebetweenlands.betweenstone_pebble_pile.one_plant.name,Betweenstone Pebble Pile,交错卵石堆
525,tile.thebetweenlands.betweenstone_pebble_pile.two_plant.name,Betweenstone Pebble Pile,交错卵石堆
526,tile.thebetweenlands.betweenstone_pebble_pile.three_plant.name,Betweenstone Pebble Pile,交错卵石堆
527,tile.thebetweenlands.betweenstone_pebble_pile.four_plant.name,Betweenstone Pebble Pile,交错卵石堆
528,tile.thebetweenlands.betweenstone_pebble_pile_water.one.name,Betweenstone Pebble Pile Water,含水交错卵石堆
529,tile.thebetweenlands.betweenstone_pebble_pile_water.two.name,Betweenstone Pebble Pile Water,含水交错卵石堆
530,tile.thebetweenlands.betweenstone_pebble_pile_water.three.name,Betweenstone Pebble Pile Water,含水交错卵石堆
531,tile.thebetweenlands.betweenstone_pebble_pile_water.four.name,Betweenstone Pebble Pile Water,含水交错卵石堆
532,tile.thebetweenlands.betweenstone_pebble_pile_water.one_plant.name,Betweenstone Pebble Pile Water,含水交错卵石堆
533,tile.thebetweenlands.betweenstone_pebble_pile_water.two_plant.name,Betweenstone Pebble Pile Water,含水交错卵石堆
534,tile.thebetweenlands.betweenstone_pebble_pile_water.three_plant.name,Betweenstone Pebble Pile Water,含水交错卵石堆
535,tile.thebetweenlands.betweenstone_pebble_pile_water.four_plant.name,Betweenstone Pebble Pile Water,含水交错卵石堆
536,tile.thebetweenlands.barnacle_1_2.name,Barnacle Cluster,藤壶簇
537,tile.thebetweenlands.barnacle_3_4.name,Barnacle Cluster,藤壶簇
538,tile.thebetweenlands.glowing_goop.name,Glowing Goop,发光黏液
539,tile.thebetweenlands.reed_mat.name,Reed Mat,芦苇垫
540,tile.thebetweenlands.mud_loot_pot.1.name,Mud Pot of Chance,陷入泥巴的机运之壶
541,tile.thebetweenlands.mud_loot_pot.2.name,Mud Pot of Chance,陷入泥巴的机运之壶
542,tile.thebetweenlands.mud_loot_pot.3.name,Mud Pot of Chance,陷入泥巴的机运之壶
543,tile.thebetweenlands.lyestone.name,Lyestone,石灰石
544,tile.thebetweenlands.mist_bridge.name,Mist Bridge,雾桥
545,tile.thebetweenlands.shadow_walker.name,Shadow Walker,影隧
546,tile.thebetweenlands.weak_smooth_cragrock.name,Weak Smooth Cragrock,脆弱的平滑峭壁岩
548,tile.thebetweenlands.weedwood_planks_treated.name,Treated Weedwood Planks,防腐杂草木木板
549,tile.thebetweenlands.weedwood_plank_stairs_treated.name,Treated Weedwood Plank Stairs,防腐杂草木木板楼梯
550,tile.thebetweenlands.weedwood_plank_slab_treated.name,Treated Weedwood Plank Slab,防腐杂草木木板台阶
551,tile.thebetweenlands.weedwood_plank_fence_treated.name,Treated Weedwood Plank Fence,防腐杂草木木板栅栏
552,tile.thebetweenlands.weedwood_plank_fence_gate_treated.name,Treated Weedwood Plank Fence Gate,防腐杂草木木板栅栏门
554,tile.thebetweenlands.rubber_tree_planks_treated.name,Treated Rubber Tree Planks,防腐橡胶树木板
555,tile.thebetweenlands.rubber_tree_plank_stairs_treated.name,Treated Rubber Tree Plank Stairs,防腐橡胶树木板楼梯
556,tile.thebetweenlands.rubber_tree_plank_slab_treated.name,Treated Rubber Tree Plank Slab,防腐橡胶树木板台阶
557,tile.thebetweenlands.rubber_tree_plank_fence_treated.name,Treated Rubber Tree Plank Fence,防腐橡胶树木板栅栏
558,tile.thebetweenlands.rubber_tree_plank_fence_gate_treated.name,Treated Rubber Tree Plank Fence Gate,防腐橡胶树木板栅栏门
560,tile.thebetweenlands.giant_root_planks_treated.name,Treated Giant Root Planks,防腐巨型树根木板
561,tile.thebetweenlands.giant_root_plank_stairs_treated.name,Treated Giant Root Plank Stairs,防腐巨型树根木板楼梯
562,tile.thebetweenlands.giant_root_plank_slab_treated.name,Treated Giant Root Plank Slab,防腐巨型树根木板台阶
563,tile.thebetweenlands.giant_root_plank_fence_treated.name,Treated Giant Root Plank Fence,防腐巨型树根木板栅栏
564,tile.thebetweenlands.giant_root_plank_fence_gate_treated.name,Treated Giant Root Plank Fence Gate,防腐巨型树根木板栅栏门
566,tile.thebetweenlands.hearthgrove_planks_treated.name,Treated Hearthgrove Planks,防腐炉树木板
567,tile.thebetweenlands.hearthgrove_plank_stairs_treated.name,Treated Hearthgrove Plank Stairs,防腐炉树木板楼梯
568,tile.thebetweenlands.hearthgrove_plank_slab_treated.name,Treated Hearthgrove Plank Slab,防腐炉树木板台阶
569,tile.thebetweenlands.hearthgrove_plank_fence_treated.name,Treated Hearthgrove Plank Fence,防腐炉树木板栅栏
570,tile.thebetweenlands.hearthgrove_plank_fence_gate_treated.name,Treated Hearthgrove Plank Fence Gate,防腐炉树木板栅栏门
572,tile.thebetweenlands.nibbletwig_planks_treated.name,Treated Nibbletwig Planks,防腐奇趣枝木板
573,tile.thebetweenlands.nibbletwig_plank_stairs_treated.name,Treated Nibbletwig Plank Stairs,防腐奇趣枝木板楼梯
574,tile.thebetweenlands.nibbletwig_plank_slab_treated.name,Treated Nibbletwig Plank Slab,防腐奇趣枝木板台阶
575,tile.thebetweenlands.nibbletwig_plank_fence_treated.name,Treated Nibbletwig Plank Fence,防腐奇趣枝木板栅栏
576,tile.thebetweenlands.nibbletwig_plank_fence_gate_treated.name,Treated Nibbletwig Plank Fence Gate,防腐奇趣枝木板栅栏门
578,tile.thebetweenlands.rotten_planks_treated.name,Treated Rotten Planks,防腐腐朽木板
579,tile.thebetweenlands.rotten_plank_stairs_treated.name,Treated Rotten Plank Stairs,防腐腐朽木板楼梯
