行号,本地化键名,原文,原译文,现译文
1210,tooltip.bl.chiromaw_wing.eat,Anything will taste better after eating this...,吃下这个，其他的食物都会更美味……,最难吃食物与之相比简直是珍馐，我再也不挑食了……
1321,tooltip.bl.elixir.foggedMind.effect,"Clouds the mind with worrisome\nthoughts, causing one to see the illusion\nof a thick fog surrounding them.",忧愁扰乱了清晰的思维，\n迷雾遮挡了明亮的眼睛,忧愁扰乱了清晰的思维，\n迷雾遮挡了明亮的眼睛。
1322,tooltip.bl.elixir.heavyweight.effect,"Gives a strange sense of\nheaviness, causing one to find\nswimming more difficult and causing\nthem to sink in Mud despite whatever\nthey may be wearing to protect them from it.",魔法成了行动的镣铐，\n无法挣脱水和污泥，\n其他魔力也无济于事,魔法变成了行动的镣铐，\n无法抵抗深陷水和污泥。
1323,tooltip.bl.elixir.basilisk.effect,"Petrifies the motor cortex of the\nbrain, causing one to be frozen in place.",剧毒击穿了运动神经，\n微小的移动也难如登天,剧毒麻痹了脑运动皮层，\n轻微的移动也难如登天。
1324,tooltip.bl.elixir.weakbow.effect,"Reduces archery skill, greatly\nlimiting one's bow shooting range.",足以毁掉一个优秀的射手，\n射击远处变得极其困难,足以毁掉优秀的弓箭手，\n射击远处变得极其困难。
1325,tooltip.bl.elixir.blindman.effect,"Severely limits the function of\nthe eye, causing one to only\nbe able to see a small distance in\nfront of them and be unable to sprint.",夜幕笼罩了眼睛，\n不能奔跑的人\n在黑暗中缓步挪行,漆黑的夜幕笼罩了双眼，\n艰难奔跑在盲目中挣扎。
1326,tooltip.bl.elixir.slugarm.effect,"Makes the arms feel numb, decreasing\none's arm swinging speed and thus causing\nthem to mine slower and strike foes less easily.",勇士的双臂变得无力，\n挥剑和挖掘成了难事,勇敢者的双臂变得无力，\n挥剑和挖掘也十分困难。
1327,tooltip.bl.elixir.stenching.effect,"Causes the emission of a very potent\nodor that is desired by monsters, making\nit easier for one to be detected by predators.",腐臭味出卖潜伏的人，\n尾随其后的是一切天敌,恶臭不断指示你的位置，\n饥饿的怪物正悄然尾随。
1328,tooltip.bl.elixir.drunkard.effect,Causes one to experience a heavy\nbout of nausea.,翻江倒海的混沌摇晃视野，\n就像经历了剧烈的反胃,翻腾的混沌感摇晃视野，\n就像经历了剧烈的反胃。
1329,tooltip.bl.elixir.starvation.effect,"Makes the stomach digest food faster\nand less efficiently, causing one to\ngo hungry more quickly.",肠胃成了难填的深沟，\n饥饿将更快找上门来,肠胃空虚成难填的深沟，\n饥饿将更快地找上门来。
